Nome,Sala,Serie,Português,Matemática,Ciências,História,Geografia,Inglês,Espanhol,Francês,Física,Química,Biologia,Filosofia,Sociologia,Artes,Música,Educação Física,Literatura
Aluno 1,A,1º Fundamental,"8,5",7,9,8,"8,5","7,5",8,,,,,,,9,8,"9,5",8
Aluno 2,B,2º Fundamental,7,"8,5","7,5",9,7,8,"7,5",,,,,,,8,"7,5",8,"7,5"
Aluno 3,C,3º Fundamental,9,"9,5",8,"7,5",9,9,"8,5",,,,,,,7,9,"8,5",8
Aluno 4,A,4º Fundamental,8,"7,5","8,5",8,"7,5",7,8,,,,,,,"8,5",8,9,"7,5"
Aluno 5,B,5º Fundamental,"7,5",8,9,"7,5",8,"8,5",7,,,,,,,9,"7,5",7,8
Aluno 6,C,6º Fundamental,"9,5",7,"7,5","8,5",9,"7,5",8,,,,,,,8,"8,5","8,5",9
Aluno 7,A,1º EM,8,"8,5",7,9,"7,5",9,"8,5",7,8,"7,5",8,7,"8,5",9,"7,5",8,"8,5"
Aluno 8,B,2º EM,"7,5",9,"8,5",7,8,8,9,"7,5","7,5",8,7,"8,5",7,8,8,9,"7,5"
Aluno 9,C,3º EM,9,"7,5",7,8,"9,5","7,5",8,"8,5",9,"8,5","7,5",9,8,7,9,"7,5",8
Aluno 10,A,1º EM,"8,5",8,9,"7,5","8,5","8,5","7,5",8,"8,5",8,9,8,9,8,"8,5","8,5","7,5"
